year,statefip,state_name,census_region_name,labor_force_participation_rate,employment_rate,hhincome,incwage,poverty_rate,food_stamp_recipiency,homeownership_rate,rental_rate,rent_average_total,attending_school,educ_hs_grad,educ_college_grad,pct_hispanic,pct_white,pct_black,pct_asian,pct_female,pct_married,commute_car,commute_public,commute_time,work_from_home,migrate_no_move,migrate_same_state,migrate_new_state
2020,15,hawaii,West,0.638,0.931,136361,51654,0.090,0.157,0.682,0.318,2032,0.211,0.751,0.258,0.110,0.221,0.016,0.465,0.501,0.412,0.776,0.037,22.8,0.106,0.866,0.077,0.035
2021,15,hawaii,West,0.634,0.926,132024,52310,0.108,0.166,0.649,0.351,2089,0.233,0.749,0.266,0.112,0.221,0.018,0.462,0.496,0.412,0.795,0.032,22.4,0.103,0.856,0.076,0.050
2022,15,hawaii,West,0.630,0.966,141506,56524,0.102,0.168,0.650,0.350,2216,0.220,0.753,0.259,0.111,0.222,0.017,0.443,0.497,0.403,0.783,0.036,23.6,0.100,0.870,0.073,0.037
2018,16,idaho,West,0.622,0.956,83928,40448,0.124,0.113,0.727,0.273,964,0.257,0.687,0.185,0.127,0.899,0.007,0.019,0.499,0.426,0.883,0.000,19.5,0.062,0.824,0.116,0.045
2019,16,idaho,West,0.635,0.965,88762,42133,0.113,0.105,0.739,0.261,1054,0.257,0.698,0.198,0.128,0.893,0.007,0.014,0.498,0.431,0.877,0.008,20.0,0.074,0.829,0.112,0.044
2020,16,idaho,West,0.630,0.952,93931,44259,0.101,0.095,0.761,0.239,1071,0.250,0.700,0.214,0.132,0.819,0.006,0.014,0.503,0.448,0.801,0.005,18.6,0.146,0.827,0.116,0.044
2021,16,idaho,West,0.633,0.967,99161,46525,0.113,0.110,0.740,0.260,1217,0.254,0.701,0.211,0.132,0.814,0.008,0.015,0.498,0.440,0.827,0.003,19.0,0.135,0.843,0.089,0.053
2022,16,idaho,West,0.626,0.972,105163,48336,0.102,0.090,0.744,0.256,1338,0.259,0.710,0.220,0.135,0.824,0.006,0.015,0.495,0.439,0.816,0.007,19.2,0.129,0.845,0.097,0.044
2018,17,illinois,Midwest,0.652,0.945,103876,52404,0.122,0.147,0.691,0.309,1183,0.250,0.709,0.254,0.173,0.717,0.141,0.057,0.508,0.389,0.809,0.059,27.9,0.051,0.864,0.103,0.017
2019,17,illinois,Midwest,0.652,0.953,109965,54730,0.116,0.138,0.700,0.300,1194,0.248,0.715,0.261,0.175,0.714,0.141,0.057,0.510,0.385,0.802,0.096,28.0,0.053,0.868,0.102,0.016
2020,17,illinois,Midwest,0.645,0.925,114214,55978,0.111,0.146,0.712,0.288,1275,0.237,0.721,0.274,0.176,0.627,0.136,0.056,0.509,0.391,0.730,0.063,23.1,0.166,0.878,0.093,0.015
2021,17,illinois,Midwest,0.645,0.927,112996,58156,0.121,0.171,0.716,0.284,1304,0.240,0.719,0.271,0.180,0.613,0.136,0.057,0.506,0.388,0.724,0.038,21.7,0.192,0.876,0.095,0.016
2022,17,illinois,Midwest,0.650,0.954,119938,61127,0.121,0.165,0.719,0.281,1403,0.237,0.727,0.276,0.183,0.610,0.135,0.060,0.505,0.387,0.742,0.055,23.5,0.158,0.875,0.091,0.019
2018,18,indiana,Midwest,0.639,0.955,84697,43231,0.135,0.107,0.719,0.281,938,0.248,0.691,0.190,0.071,0.828,0.096,0.024,0.508,0.395,0.919,0.002,23.1,0.038,0.844,0.119,0.021
2019,18,indiana,Midwest,0.640,0.958,89534,44642,0.126,0.101,0.726,0.274,958,0.244,0.698,0.191,0.072,0.828,0.096,0.025,0.507,0.384,0.913,0.009,23.2,0.042,0.853,0.109,0.023
2020,18,indiana,Midwest,0.628,0.946,92100,46309,0.119,0.111,0.753,0.247,970,0.237,0.707,0.206,0.073,0.787,0.091,0.023,0.509,0.400,0.846,0.007,21.2,0.115,0.866,0.103,0.019
2021,18,indiana,Midwest,0.633,0.952,92921,47968,0.123,0.114,0.748,0.252,1027,0.241,0.707,0.206,0.076,0.778,0.089,0.024,0.504,0.397,0.839,0.006,21.0,0.122,0.857,0.104,0.024
2022,18,indiana,Midwest,0.639,0.965,99724,50763,0.126,0.106,0.745,0.255,1133,0.241,0.708,0.210,0.078,0.775,0.094,0.026,0.503,0.402,0.855,0.006,21.5,0.105,0.861,0.102,0.022
2018,19,iowa,Midwest,0.674,0.963,87593,43151,0.116,0.111,0.744,0.256,917,0.248,0.715,0.203,0.061,0.903,0.035,0.028,0.503,0.415,0.895,0.000,18.2,0.052,0.839,0.121,0.026
2019,19,iowa,Midwest,0.668,0.962,92015,44397,0.118,0.109,0.740,0.260,931,0.250,0.724,0.209,0.062,0.900,0.042,0.024,0.504,0.416,0.884,0.012,18.6,0.060,0.856,0.110,0.021
