year,countyfip,county_name,state_name,total_population,per_capita_personal_income,unemp_rate
2008,87,Santa Cruz,California,252673,46666,7.4
2009,87,Santa Cruz,California,255671,45308,11.56
2010,87,Santa Cruz,California,263174,48843,13.65
2011,87,Santa Cruz,California,264927,49290,13.32
2012,87,Santa Cruz,California,266391,51725,12.05
2013,87,Santa Cruz,California,268836,52252,10.42
2014,87,Santa Cruz,California,270863,54072,8.86
2015,87,Santa Cruz,California,273495,56902,7.53
2016,87,Santa Cruz,California,274476,58504,6.99
2017,87,Santa Cruz,California,274865,62065,5.74
2018,87,Santa Cruz,California,273713,64845,5
2019,87,Santa Cruz,California,272870,69302,4.92
2020,87,Santa Cruz,California,270462,78299,9.73
2021,87,Santa Cruz,California,260495,88997,6.94
2022,87,Santa Cruz,California,264370,86365,4.78
2008,89,Shasta,California,180450,32669,10.08
2009,89,Shasta,California,180901,33096,14.92
2010,89,Shasta,California,177277,34493,17.18
2011,89,Shasta,California,177613,34982,16.21
2012,89,Shasta,California,177908,35512,14.41
2013,89,Shasta,California,178447,35799,11.96
2014,89,Shasta,California,178904,37909,9.73
2015,89,Shasta,California,178386,40252,7.83
2016,89,Shasta,California,178592,41305,7
2017,89,Shasta,California,179403,42714,5.84
2018,89,Shasta,California,179666,43843,5.02
2019,89,Shasta,California,179645,45744,4.78
2020,89,Shasta,California,181984,51246,8.93
2021,89,Shasta,California,181981,54546,6.9
2022,89,Shasta,California,180930,54120,4.59
2008,91,Sierra,California,3250,28172,10.68
2009,91,Sierra,California,3176,29909,15.56
2010,91,Sierra,California,3220,31945,15.79
2011,91,Sierra,California,3100,33655,15.16
2012,91,Sierra,California,3068,35047,14.63
2013,91,Sierra,California,3031,35366,12.94
2014,91,Sierra,California,2976,37111,10.2
2015,91,Sierra,California,2990,36501,8.8
2016,91,Sierra,California,2956,37831,7.63
2017,91,Sierra,California,3008,38612,6.57
2018,91,Sierra,California,2961,39756,6.08
2019,91,Sierra,California,2959,41733,5.43
2020,91,Sierra,California,3228,45192,8.33
2021,91,Sierra,California,3295,46767,6.13
2022,91,Sierra,California,3217,47877,4.17
2008,93,Siskiyou,California,44502,31663,10.27
2009,93,Siskiyou,California,44489,30695,14.85
2010,93,Siskiyou,California,44941,31805,17.25
2011,93,Siskiyou,California,44622,33248,17.28
2012,93,Siskiyou,California,44091,33571,15.86
2013,93,Siskiyou,California,43550,34302,13.33
2014,93,Siskiyou,California,43357,36561,11.26
2015,93,Siskiyou,California,43275,39585,9.43
2016,93,Siskiyou,California,43402,40621,8.56
2017,93,Siskiyou,California,43647,41411,7.32
2018,93,Siskiyou,California,43624,42268,6.77
2019,93,Siskiyou,California,43663,43420,6.55
2020,93,Siskiyou,California,43991,49301,10.05
2021,93,Siskiyou,California,44026,52474,8.13
2022,93,Siskiyou,California,43660,51788,5.73
2008,95,Solano,California,404838,38004,6.92
2009,95,Solano,California,405670,37518,10.83
2010,95,Solano,California,413963,37656,12.85
2011,95,Solano,California,416325,38635,12.38
2012,95,Solano,California,419645,38975,10.85
2013,95,Solano,California,423634,40025,9.18
2014,95,Solano,California,428971,41195,7.63
2015,95,Solano,California,433378,43597,6.17
2016,95,Solano,California,438834,45447,5.51
2017,95,Solano,California,443554,46644,4.8
2018,95,Solano,California,445931,48566,3.96
2019,95,Solano,California,447434,51540,3.82
2020,95,Solano,California,452698,57029,9.8
2021,95,Solano,California,450350,59873,7.42
2022,95,Solano,California,448747,58273,4.21
2008,97,Sonoma,California,465847,43214,5.78
2009,97,Sonoma,California,471349,41550,9.81
2010,97,Sonoma,California,484675,42813,11.08
2011,97,Sonoma,California,487231,44462,10.39
2012,97,Sonoma,California,489784,46251,9.01
2013,97,Sonoma,California,493870,47527,7.2
2014,97,Sonoma,California,498317,49836,5.68
2015,97,Sonoma,California,500598,53594,4.51
2016,97,Sonoma,California,502445,55513,4
2017,97,Sonoma,California,502203,57858,3.4
2018,97,Sonoma,California,497221,61066,2.79
2019,97,Sonoma,California,492318,65804,2.7
2020,97,Sonoma,California,488281,71866,8.11
2021,97,Sonoma,California,484315,78558,5.56
2022,97,Sonoma,California,482650,77900,3.13
2008,99,Stanislaus,California,506232,31076,11.11
2009,99,Stanislaus,California,508551,30583,16.14
2010,99,Stanislaus,California,515137,31909,17.31
2011,99,Stanislaus,California,517515,32860,16.79
2012,99,Stanislaus,California,520336,33794,15.13
2013,99,Stanislaus,California,523313,34382,13.11
2014,99,Stanislaus,California,527814,36753,11.3
2015,99,Stanislaus,California,532954,39006,9.55
2016,99,Stanislaus,California,538986,39780,8.63
2017,99,Stanislaus,California,544494,40592,7.53
2018,99,Stanislaus,California,547855,41452,6.48
2019,99,Stanislaus,California,549761,43396,6.1
2020,99,Stanislaus,California,553217,48532,10.99
2021,99,Stanislaus,California,552851,52130,8.33
2022,99,Stanislaus,California,551275,51015,5.44
2008,101,Sutter,California,92051,34076,12.38
2009,101,Sutter,California,92355,34369,17.12
2010,101,Sutter,California,94742,34433,18.79
2011,101,Sutter,California,94466,35304,18.47
2012,101,Sutter,California,94153,34985,17.04
2013,101,Sutter,California,94457,36468,14.78
2014,101,Sutter,California,94721,36688,12.79
2015,101,Sutter,California,95224,39130,10.76
2016,101,Sutter,California,95769,39983,9.74
2017,101,Sutter,California,96161,40348,8.79
2018,101,Sutter,California,96348,42184,7.64
2019,101,Sutter,California,96910,43868,7.43
2020,101,Sutter,California,99464,49536,11.33
2021,101,Sutter,California,99038,53408,8.96
2022,101,Sutter,California,98503,52005,6.57
2008,103,Tehama,California,61073,26953,9.24
2009,103,Tehama,California,61137,27719,14.2
2010,103,Tehama,California,63562,28725,15.77
2011,103,Tehama,California,63337,29964,15.24
2012,103,Tehama,California,63213,31293,13.97
2013,103,Tehama,California,62878,31594,11.77
2014,103,Tehama,California,62797,33917,9.73
2015,103,Tehama,California,63150,35500,7.95
2016,103,Tehama,California,63468,36008,7.16
2017,103,Tehama,California,63827,37997,6.42
2018,103,Tehama,California,63904,38783,5.74
2019,103,Tehama,California,65186,40081,5.65
2020,103,Tehama,California,65682,44883,9.11
2021,103,Tehama,California,65380,47750,7.19
2022,103,Tehama,California,65245,47315,4.86
2008,105,Trinity,California,13952,26170,12.89
2009,105,Trinity,California,14109,26654,17.49
2010,105,Trinity,California,13755,27821,17.44
2011,105,Trinity,California,13685,27311,17.01
2012,105,Trinity,California,13494,26857,14.91
2013,105,Trinity,California,13427,26688,12.1
2014,105,Trinity,California,13126,28420,9.63
2015,105,Trinity,California,13094,29552,7.86
2016,105,Trinity,California,12827,29722,7.13
2017,105,Trinity,California,12727,29747,6.27
2018,105,Trinity,California,12598,30685,5.77
2019,105,Trinity,California,12337,31634,5.54
2020,105,Trinity,California,16089,33472,8.24
2021,105,Trinity,California,16061,35204,6.38
2022,105,Trinity,California,15781,36314,4.61
2008,107,Tulare,California,422398,28639,10.86
2009,107,Tulare,California,429167,27740,15.45
2010,107,Tulare,California,442953,30109,17.59
2011,107,Tulare,California,446709,31644,17.4
2012,107,Tulare,California,449625,31434,16.39
2013,107,Tulare,California,452259,32017,14.52
2014,107,Tulare,California,454858,34983,13.28
2015,107,Tulare,California,456794,35556,11.7
2016,107,Tulare,California,458991,37125,11.22
2017,107,Tulare,California,462072,37983,10.52
2018,107,Tulare,California,464279,38070,9.78
2019,107,Tulare,California,465751,39834,9.75
2020,107,Tulare,California,473891,45523,13.41
2021,107,Tulare,California,476946,48626,10.6
2022,107,Tulare,California,477544,47295,8.17
2008,109,Tuolumne,California,55626,32424,8.03
2009,109,Tuolumne,California,55105,32168,12.68
2010,109,Tuolumne,California,55164,34579,15.61
2011,109,Tuolumne,California,54808,35841,14.73
2012,109,Tuolumne,California,54201,36606,13.17
2013,109,Tuolumne,California,53975,36116,10.9
2014,109,Tuolumne,California,53830,38181,8.77
2015,109,Tuolumne,California,53599,40912,7.07
2016,109,Tuolumne,California,53729,42373,6.23
2017,109,Tuolumne,California,53953,43170,5.43
2018,109,Tuolumne,California,54250,43806,4.66
2019,109,Tuolumne,California,54290,45926,4.56
2020,109,Tuolumne,California,55374,49653,10.65
2021,109,Tuolumne,California,55065,53216,7.27
2022,109,Tuolumne,California,54531,52806,4.47
2008,111,Ventura,California,793737,45775,6.32
2009,111,Ventura,California,801061,44435,10.06
2010,111,Ventura,California,825144,45947,11.11
2011,111,Ventura,California,829908,47868,10.43
2012,111,Ventura,California,833287,49592,9.24
2013,111,Ventura,California,837729,49787,7.97
2014,111,Ventura,California,842113,51943,6.73
2015,111,Ventura,California,845599,54241,5.68
2016,111,Ventura,California,846921,55756,5.23
2017,111,Ventura,California,848264,57456,4.53
2018,111,Ventura,California,847222,59781,3.82
2019,111,Ventura,California,844203,62886,3.64
2020,111,Ventura,California,843310,68273,8.79
2021,111,Ventura,California,839358,74527,6.2
2022,111,Ventura,California,832605,76375,3.7
2008,113,Yolo,California,196562,39765,7.43
2009,113,Yolo,California,199150,39447,11.48
2010,113,Yolo,California,201061,39970,12.38
2011,113,Yolo,California,201931,42841,11.98
2012,113,Yolo,California,204558,43527,10.8
2013,113,Yolo,California,206267,44581,9.12
2014,113,Yolo,California,208368,46763,7.62
2015,113,Yolo,California,211998,49027,6.49
2016,113,Yolo,California,215569,49918,5.91
2017,113,Yolo,California,218470,50754,5.15
2018,113,Yolo,California,220082,52040,4.3
2019,113,Yolo,California,220019,55226,4.14
2020,113,Yolo,California,216291,60305,7.82
2021,113,Yolo,California,213039,66308,5.96
2022,113,Yolo,California,222115,64279,4.04
2008,115,Yuba,California,72414,30658,11.95
2009,115,Yuba,California,72358,30832,17.52
2010,115,Yuba,California,72345,31375,18.17
2011,115,Yuba,California,72480,32320,17.25
2012,115,Yuba,California,72770,32564,15.63
2013,115,Yuba,California,73082,33459,13.28
2014,115,Yuba,California,73527,34303,11.33
2015,115,Yuba,California,74039,36587,9.36
2016,115,Yuba,California,74920,37593,8.64
2017,115,Yuba,California,76575,37776,7.47
2018,115,Yuba,California,77418,39466,6.46
2019,115,Yuba,California,78549,41285,6.13
2020,115,Yuba,California,81994,45680,10.68
2021,115,Yuba,California,83216,49013,8.42
2022,115,Yuba,California,84310,48204,5.52
